lag,B1,B2,B3,B4,B5,B6
1,0.05342616,0.06341819,0.07382525,0.07960314,0.08362472,0.091516815
2,0.18893394,0.22515124,0.26279625,0.2836978,0.29840624,0.32711634
3,0.3681958,0.43997493,0.5145095,0.5557083,0.5851442,0.64208496
4,0.5664147,0.67828166,0.7944196,0.85827,0.90452945,0.9931716
5,0.77165645,0.92578995,1.0857565,1.1734388,1.2375529,1.3595173
6,0.97870636,1.1763161,1.3812149,1.4935218,1.5759809,1.732232
7,1.185322,1.427324,1.6777701,1.8152677,1.9163864,2.1076667
8,1.3905292,1.6778023,1.9742336,2.137224,2.2574012,2.484313
9,1.5939369,1.9273363,2.270163,2.4587183,2.5984638,2.8615823
10,1.7954086,2.1757917,2.5653403,2.779476,2.9392898,3.23932
13,2.3880863,2.9146023,3.4453568,3.7367187,3.9591477,4.3746343
17,3.1542575,3.8820426,4.6063557,5.0020003,5.312555,5.8894606
22,4.075097,5.06073,6.0374165,6.568663,6.9954977,7.7795978
29,5.2997255,6.6604486,8.003611,8.731884,9.3322735,10.411405
37,6.6162767,8.415935,10.192539,11.16777,11.98195,13.396811
48,8.287486,10.720032,13.115796,14.4414625,15.601382,17.4986
63,10.383555,13.657087,16.94685,18.817415,20.467667,23.079756
81,12.594819,16.93793,21.347218,23.950941,26.150082,29.71849
106,15.200354,21.064398,27.120462,30.873753,33.82338,38.751617
137,17.826342,25.679884,33.71216,39.0528,43.041245,49.770786
179,20.68281,31.05123,41.926617,49.661568,55.113647,64.47751
232,23.375896,36.90895,51.486755,62.284615,69.31734,82.79724
302,25.93208,43.292618,62.97912,77.471344,87.1145,106.74789
392,28.138802,49.749664,75.82288,95.29762,108.864075,137.29323
510,29.906841,56.38421,90.11989,116.62804,135.53983,176.24178
663,31.066027,61.90166,105.25618,140.97401,168.51048,225.4121
861,31.87973,66.22577,121.009834,168.60953,208.81746,286.98386
1119,32.578377,69.78213,135.59201,202.22188,255.1525,363.78247
1455,32.55272,72.27825,147.31209,239.31189,310.85236,456.85437
1890,32.283875,73.334526,159.24142,278.27832,368.57233,571.94495
2457,33.024628,71.560265,168.82207,324.53598,437.70398,720.2888
3193,33.394794,73.3518,179.48485,368.26453,509.0458,909.1124
4150,33.279263,74.45576,191.93034,417.61572,570.156,1094.9442
5394,35.298115,74.893776,201.41321,472.75992,625.49475,1317.0469
7010,36.26613,81.213585,208.95988,538.3831,655.4291,1553.5106
9111,36.657322,84.413826,226.10204,572.9505,694.83453,1686.9502
11841,39.835243,91.07956,248.40433,520.28705,723.8423,1519.1838
15389,45.525265,106.79682,271.57617,429.90427,557.7417,983.3884
20000,NaN,NaN,NaN,NaN,NaN,NaN
