B,alpha,V
0.0,0.749643762581918,3.994308347002122
0.05,0.749643762581918,3.944308347002122
0.1,0.749643762581918,3.894308347002122
0.15,0.749643762581918,3.844308347002122
0.2,0.749643762581918,3.7943083470021217
0.25,0.749643762581918,3.744308347002122
0.3,0.749643762581918,3.694308347002122
0.35,0.749643762581918,3.644308347002122
0.4,0.749643762581918,3.594308347002122
0.45,0.749643762581918,3.5443083470021217
0.5,0.749643762581918,3.494308347002122
0.55,0.749643762581918,3.4443083470021216
0.6,0.749643762581918,3.394308347002122
0.65,0.749643762581918,3.344308347002122
0.7,0.749643762581918,3.294308347002122
0.75,0.749643762581918,3.244308347002122
0.8,0.749643762581918,3.1943083470021216
0.85,0.749643762581918,3.144308347002122
0.9,0.749643762581918,3.094308347002122
0.95,0.749643762581918,3.044308347002122
1.0,0.749643762581918,2.994308347002122
1.05,0.749643762581918,2.9443083470021216
1.1,0.749643762581918,2.894308347002122
1.15,0.749643762581918,2.844308347002122
1.2,0.749643762581918,2.794308347002122
1.25,0.749643762581918,2.744308347002122
1.3,0.749643762581918,2.6943083470021216
1.35,0.749643762581918,2.644308347002122
1.4,0.749643762581918,2.594308347002122
1.45,0.749643762581918,2.544308347002122
1.5,0.749643762581918,2.494308347002122
1.55,0.749643762581918,2.4443083470021216
1.6,0.749643762581918,2.394308347002122
1.65,0.749643762581918,2.344308347002122
1.7,0.749643762581918,2.294308347002122
1.75,0.749643762581918,2.244308347002122
1.8,0.749643762581918,2.1943083470021216
1.85,0.749643762581918,2.144308347002122
1.9,0.749643762581918,2.094308347002122
1.95,0.749643762581918,2.044308347002122
2.0,0.749643762581918,1.994308347002122
2.05,0.749643762581918,1.944308347002122
2.1,0.749643762581918,1.8943083470021218
2.15,0.749643762581918,1.844308347002122
2.2,0.749643762581918,1.7943083470021217
2.25,0.749643762581918,1.744308347002122
2.3,0.749643762581918,1.694308347002122
2.35,0.749643762581918,1.6443083470021218
2.4,0.749643762581918,1.594308347002122
2.45,0.749643762581918,1.5443083470021217
2.5,0.749643762581918,1.494308347002122
2.55,0.749643762581918,1.444308347002122
2.6,0.749643762581918,1.3943083470021218
2.65,0.749643762581918,1.344308347002122
2.7,0.749643762581918,1.2943083470021217
2.75,0.749643762581918,1.244308347002122
2.8,0.749643762581918,1.194308347002122
2.85,0.749643762581918,1.1443083470021218
2.9,0.749643762581918,1.094308347002122
2.95,0.749643762581918,1.0443083470021217
3.0,0.749643762581918,0.9943083470021219
3.05,0.749643762581918,0.9443083470021221
3.1,0.749643762581918,0.8943083470021218
3.15,0.749643762581918,0.844308347002122
3.2,0.749643762581918,0.7943083470021217
3.25,0.749643762581918,0.7443083470021219
3.3,0.749643762581918,0.6943083470021221
3.35,0.749643762581918,0.6443083470021218
3.4,0.749643762581918,0.594308347002122
3.45,0.749643762581918,0.5443083470021217
3.5,0.749643762581918,0.4943083470021219
3.55,0.749643762581918,0.4443083470021221
3.6,0.749643762581918,0.3943083470021218
3.65,0.749643762581918,0.344308347002122
3.7,0.749643762581918,0.2943083470021217
3.75,0.749643762581918,0.2443083470021219
3.8,0.749643762581918,0.19430834700212207
3.85,0.749643762581918,0.1443083470021218
3.9,0.749643762581918,0.09430834700212198
3.95,0.749643762581918,0.04430834700212172
4.0,0.7723911349734102,0.0
4.05,0.8178012467280985,0.0
4.1,0.840913608895287,0.0
4.15,0.8577692273680061,0.0
4.2,0.8712301895427175,0.0
4.25,0.8824695136088735,0.0
4.3,0.8921083895254216,0.0
4.35,0.9005244590147939,0.0
4.4,0.9079683636424947,0.0
4.45,0.9146169278884286,0.0
4.5,0.9206006395492046,0.0
4.5,0.9206006395492046,0.0
4.55,0.926019174201352,0.0
4.6,0.9309507779977645,0.0
4.65,0.9354582474462417,0.0
4.7,0.9395929072787635,0.0
4.75,0.9433973519342602,0.0
4.8,0.9469073919787411,0.0
4.85,0.9501534715279364,0.0
4.9,0.9531617232758279,0.0
4.95,0.9559547689052568,0.0
5.0,0.9585523366023091,0.0
5.05,0.9609717446028063,0.0
5.1,0.9632282848910996,0.0
5.15,0.9653355313150992,0.0
5.2,0.9673055896794206,0.0
5.25,0.9691493027284261,0.0
5.3,0.9708764196527223,0.0
5.35,0.9724957373990601,0.0
5.4,0.9740152193527218,0.0
5.45,0.9754420956994997,0.0
5.5,0.9767829488324281,0.0
5.55,0.9780437864573092,0.0
5.6,0.9792301045085551,0.0
5.65,0.9803469415689097,0.0
5.7,0.9813989261617009,0.0
5.75,0.9823903180295315,0.0
5.8,0.983325044312004,0.0
5.85,0.9842067313748041,0.0
5.9,0.9850387329139677,0.0
5.95,0.98582415485546,0.0
6.0,0.9865658774859875,0.0
6.05,0.9872665751821815,0.0
6.1,0.9879287340488038,0.0
6.15,0.9885546677299758,0.0
6.2,0.9891465316187348,0.0
6.25,0.9897063356579494,0.0
6.3,0.9902359558986041,0.0
6.35,0.9907371449587358,0.0
6.4,0.9912115415071093,0.0
6.45,0.9916606788794501,0.0
6.5,0.9920859929211991,0.0
6.55,0.9924888291389379,0.0
6.6,0.9928704492324909,0.0
6.65,0.9932320370710165,0.0
6.7,0.9935747041688224,0.0
6.75,0.9938994947103291,0.0
6.8,0.9942073901676474,0.0
6.85,0.9944993135496734,0.0
6.9,0.9947761333171095,0.0
6.95,0.9950386669941622,0.0
7.0,0.9952876845043757,0.0
7.05,0.9955239112551805,0.0
7.1,0.9957480309932052,0.0
7.15,0.9959606884501554,0.0
7.2,0.9961624917970899,0.0
7.25,0.9963540149231686,0.0
7.3,0.9965357995533868,0.0
7.35,0.9967083572184303,0.0
7.4,0.9968721710885443,0.0
7.45,0.9970276976822113,0.0
7.5,0.9971753684594432,0.0
7.55,0.997315591308612,0.0
7.6,0.9974487519349471,0.0
7.65,0.9975752151581165,0.0
7.7,0.9976953261256677,0.0
7.75,0.9978094114485218,0.0
7.8,0.9979177802641965,0.0
7.85,0.9980207252329591,0.0
7.9,0.9981185234716816,0.0
7.95,0.9982114374297846,0.0
8.0,0.9982997157113038,0.0
8.05,0.9983835938467942,0.0
8.1,0.9984632950184911,0.0
8.15,0.9985390307418907,0.0
8.2,0.9986110015066622,0.0
8.25,0.9986793973795886,0.0
8.3,0.998744398572027,0.0
8.35,0.9988061759741999,0.0
8.4,0.998864891658453,0.0
8.45,0.9989206993534664,0.0
8.5,0.9989737448912572,0.0
8.55,0.9990241666286879,0.0
8.6,0.9990720958450664,0.0
8.65,0.9991176571173203,0.0
8.7,0.99916096867412,0.0
8.75,0.999202142730235,0.0
8.8,0.9992412858023186,0.0
8.85,0.9992784990072366,0.0
8.9,0.999313878343982,0.0
8.95,0.9993475149601474,0.0
9.0,0.9993794954038657,0.0
