buffer_lin_Thiers13,Thiers13_delays
0.0,0.10949317660559882
0.1,0.10129411756286183
0.2,0.09474811829733631
0.30000000000000004,0.08967694209576958
0.4,0.08297584649845793
0.5,0.07671719446160177
0.6000000000000001,0.07122827092211699
0.7000000000000001,0.06445510967262041
0.8,0.05990969214435264
0.9,0.05300211077826762
1.0,0.04808402581403306
1.1,0.042297198959847696
1.2000000000000002,0.03641986483572632
1.3,0.03218174277271252
1.4000000000000001,0.025853356725037385
1.5,0.023147444943014617
1.55,0.019586814843944082
1.6,0.01802266598265917
1.6500000000000001,0.015477611171485555
1.7000000000000002,0.014035276824098752
1.7500000000000002,0.01168649080131788
1.8000000000000003,0.009584789088336626
1.8500000000000003,0.008195654367867327
1.9000000000000004,0.006372603236836145
1.9500000000000004,0.006602753740625905
2.0000000000000004,0.004300486351249245
2.0500000000000007,0.0035308990648679033
2.1000000000000005,0.0031065199687623376
2.1500000000000004,0.0017049023799917337
2.2000000000000006,0.0010828374781571466
2.250000000000001,0.0006790882493447745
2.3000000000000007,0.0005401350172170375
2.3500000000000005,6.659269306119174e-05
2.400000000000001,4.926992080035928e-05
2.450000000000001,1.7116343558775677e-05
2.5,1.8066207063218567e-05
2.74999,1.0248081025185399e-05
2.99998,8.371415994054636e-06
3.24997,8.502407518097425e-06
3.4999599999999997,8.181762969030342e-06
2.4,0.0002713988426376653
2.4099999999999997,8.850608075021666e-05
2.4199999999999995,3.220313855988466e-05
2.4299999999999993,2.6365289265659547e-05
2.439999999999999,6.3862316076757e-05
2.449999999999999,1.4172566393316606e-05
2.4599999999999986,6.006911807034969e-05
2.4699999999999984,6.227272667894136e-05
2.479999999999998,1.906184065408048e-05
2.489999999999998,1.2810195220329945e-05
2.499999999999998,1.4456695034493509e-05
2.5099999999999976,1.3099456472200868e-05
2.5199999999999974,1.2650420446805798e-05
2.529999999999997,1.2688331684837807e-05
2.539999999999997,2.480608554210121e-05
