buffer_log_Workplace15,Workplace15_delays
0.0,0.1241267465046859
0.1,0.11586732261195383
0.2,0.1001772138285433
0.30000000000000004,0.08651981095403603
0.4,0.07598245871666282
0.5,0.06519297273728654
0.55,0.05920523053256007
0.6000000000000001,0.05361316070199068
0.6500000000000001,0.048526639048097994
0.7000000000000002,0.042017150053734305
0.7500000000000002,0.039120256204328345
0.8000000000000003,0.03523796588102252
0.8500000000000003,0.0292069242595834
0.9000000000000004,0.024235149319313355
0.9500000000000004,0.020602989713567905
1.0000000000000004,0.016784118791435237
1.0500000000000005,0.015100862340378612
1.1000000000000005,0.012019321400435759
1.1500000000000006,0.01039345185927623
1.2000000000000006,0.009726923377349397
1.2500000000000007,0.007377681974172559
1.3000000000000007,0.006321223569603308
1.3500000000000008,0.0054978191398470785
1.4000000000000008,0.00429392655945921
1.4500000000000008,0.0036464928789114383
1.5000000000000009,0.00353529803761319
1.550000000000001,0.002100975607885014
1.600000000000001,0.0018613175365929466
1.650000000000001,0.001478061411618742
1.700000000000001,0.0008198796514496754
1.750000000000001,0.0007121669949816169
1.8000000000000012,0.00032407627184911995
1.8500000000000012,0.00016580584788425666
1.9000000000000012,0.00017446750445206338
1.9500000000000013,4.5364704265662276e-05
2.0,0.0001420632446340811
2.24999,4.50267448030012e-05
2.49998,3.699377749786809e-05
2.74997,3.669889498904147e-05
2.9999599999999997,3.413179323974884e-05
3.2499499999999997,2.8229326006553296e-05
3.4999399999999996,3.4187851370114446e-05
1.9,0.00026159797921311
1.91,5.964005884008443e-05
1.92,0.00019978352950077955
1.93,5.4605873409820315e-05
1.94,0.000307041230011052
1.95,5.064491223252403e-05
1.96,5.402919740694391e-05
1.97,0.00023408892623896264
1.98,0.00012127850304149474
1.99,4.283785231876953e-05
2.0,0.00011190657507315363
2.01,0.00010627270476775493
2.02,5.767372439828196e-05
2.0300000000000002,5.9447894033253234e-05
2.04,4.5025796731866635e-05
2.05,4.684434946365395e-05
2.06,4.825335694561864e-05
2.0700000000000003,4.591340008194287e-05
2.08,4.0069684968424576e-05
2.09,4.9071392450302885e-05
2.1,4.514776813344836e-05
